file,hrefs
R_1675047671_ES_5,"['home-decor-art/index.html', 'art-artifacts/index.html', '../../aterian-point/index.html', '#', '#']"
R_1675052969_ES_5,"['home-decor-art/index.html', 'indexb4eb.html?sort=featured&page=4', '../victorian-trails-compass/index.html', '#', '#']"
R_1675056691_ES_4,"['premium-collection/index.html', '../zebra-pedestal-mount/index.html', '#', '#']"
R_1675054694_ES_4,"['jewelry-clothing-accessories/index.html', '../evolution-skull-t-shirt/index.html', '#', '#']"
R_1675074712_ES_3,"['premium-collection/index.html', 'taxidermy-specimens/index.html', '../../black-bear-rug/index.html']"
R_1675087074_ES_5,"['puzzles-toys-edibles/index.html', 'indexf1d4.html?sort=featured&page=2', '../tiny-mammoth/index.html', '#', '#']"
R_1675076543_ES_5,"['puzzles-toys-edibles/index.html', 'indexb4eb.html?sort=featured&page=4', 'index36c2.html?sort=featured&page=3', '../metal-space-shuttle-kit/index.html', '#']"
R_1675214241_ES_4,"['jewelry-clothing-accessories/index.html', 'jewelry/index.html', 'indexf1d4.html?sort=featured&page=2', '../../spider-stud-earrings/index.html']"
R_1675084288_ES_5,"['home-decor-art/index.html', 'index5733.html?sort=featured&page=6', 'indexb4eb.html?sort=featured&page=4', '../victorian-trails-compass/index.html', '#']"
R_1675056584_ES_5,"['premium-collection/index.html', 'fossils/index.html', '../../petrified-wood-slab-w-wooden-stand/index.html', '#', '#']"
R_1675083527_ES_5,"['jewelry-clothing-accessories/index.html', 'indexf1d4.html?sort=featured&page=2', '../shell-coin-purse-pecten-senatoria/index.html', '#', '#']"
R_1675213527_ES_4,"['home-decor-art/index.html', 'skull-decor/index.html', '../../faux-amber-skull/index.html', '#']"
R_1675084131_ES_5,"['puzzles-toys-edibles/index.html', 'indexb4eb.html?sort=featured&page=4', '../anatomical-snap-together-kit-scorpion/index.html', '#', '#']"
R_1675058882_ES_5,"['puzzles-toys-edibles/index.html', 'puzzles-models/index.html', '../../apatosaurus-3d-wooden-puzzle/index.html', '#', '#']"
R_1675082402_ES_4,"['preserved-mounted-specimens/index.html', 'preserved-specimens/index.html', '../../alligator-head/index.html', '#']"
R_1675058285_ES_5,"['home-decor-art/index.html', 'indexb4eb.html?sort=featured&page=4', '../italian-marble-coaster-rhinoceros-skeleton/index.html', '#', '#']"
R_1675047564_ES_4,"['skulls-skeletons-anatomy-more/index.html', '../ear-model-5-times-full-size-8-part/index.html', '#', '#']"
R_1675073636_ES_5,"['home-decor-art/index.html', 'tabletop-bath/index.html', 'indexf1d4.html?sort=featured&page=2', 'index1bb6.html?sort=featured&page=1', '../../rocksoaps/index.html']"
R_1675074220_ES_5,"['jewelry-clothing-accessories/index.html', 'indexb4eb.html?sort=featured&page=4', '../hanging-cicada-earrings/index.html', '#', '#']"
R_1675084404_ES_4,"['preserved-mounted-specimens/index.html', 'specimens-in-resin/index.html', 'indexf1d4.html?sort=featured&page=2', '../../leaf-phyllotaxy/index.html']"
R_1675046945_ES_4,"['meteorites-fossils-minerals/index.html', '../fossil-whale-ear-bone/index.html', '#', '#']"
R_1675075902_ES_4,"['preserved-mounted-specimens/index.html', 'preserved-specimens/index.html', '../../bird-egg-shells/index.html', '#']"
R_1675079401_ES_4,"['meteorites-fossils-minerals/index.html', 'meteorites/index.html', '../../sikhote-alin-meteorite-in-a-vial/index.html', '#']"
R_1675085717_ES_5,"['puzzles-toys-edibles/index.html', 'indexf1d4.html?sort=featured&page=2', '../glass-eye-leopard/index.html', '#', '#']"
R_1675087524_ES_5,"['premium-collection/index.html', 'indexf1d4.html?sort=featured&page=2', '../aluminum-anthill-casting/index.html', '#', '#']"
R_1675212906_ES_4,"['meteorites-fossils-minerals/index.html', 'minerals/index.html', 'indexf1d4.html?sort=featured&page=2', '../../mini-mineral-gemstone-collection-12pc/index.html']"
R_1675047860_ES_5,"['premium-collection/index.html', 'home-decor/index.html', '../../burchells-zebra-rug/index.html', '#', '#']"
R_1675058409_ES_4,"['preserved-mounted-specimens/index.html', '../tiger-shark-tooth/index.html', '#', '#']"
R_1675080768_ES_5,"['puzzles-toys-edibles/index.html', 'indexb4eb.html?sort=featured&page=4', '../anatomical-snap-together-kit-mammoth/index.html', '#', '#']"
R_1675077888_ES_4,"['jewelry-clothing-accessories/index.html', 'clothing-accessories/index.html', '../../evolution-skull-hoodie/index.html', '#']"
R_1675214774_ES_5,"['skulls-skeletons-anatomy-more/index.html', 'indexb4eb.html?sort=featured&page=4', 'index36c2.html?sort=featured&page=3', '../coyote-skull/index.html', '#']"
R_1675050127_ES_5,"['preserved-mounted-specimens/index.html', 'taxidermy/index.html', '../../white-peacock/index.html', '#', '#']"
