file,hrefs
R_1675182055_HB_6,"['#', 'collections/kids.html', 'collections/kids-sale.html', 'kids-sale/products/mini-colorblock-tight.html', 'mini-colorblock-tight6aba.html?variant=1271669260', 'mini-colorblock-tight82bb.html?variant=1271669272']"
R_1675182676_HB_4,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/northern-lights-mens-crew.html']"
R_1675184173_HB_5,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/hoodie-wool-mens-crew.html', 'hoodie-wool-mens-crew4a39.html?variant=40230005342255']"
R_1675161836_HB_6,"['#', 'collections/kids.html', 'collections/kids-new-arrivals.html', 'kids-new-arrivals/products/mini-ferdinand-crew.html', 'mini-ferdinand-crewb65d.html?variant=32919229104175', 'mini-ferdinand-crew4067.html?variant=32919228973103']"
R_1675165124_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/sloane-dress-poppy.html', 'sloane-dress-poppy0749.html?variant=40116984676399', 'sloane-dress-poppy2545.html?variant=40116984381487', 'sloane-dress-poppyb375.html?variant=40116984643631']"
R_1675166411_HB_6,"['#', 'collections/kids.html', 'collections/kids-tights-and-leggings.html', 'kids-tights-and-leggings/products/mini-boulangerie-legging.html', 'mini-boulangerie-legging3490.html?variant=32918016065583', 'mini-boulangerie-legging709a.html?variant=32918016032815']"
R_1675157948_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/margaret-dress-poppy.html', 'margaret-dress-poppy882b.html?variant=40116966326319', 'margaret-dress-poppy22b1.html?variant=40116966621231']"
R_1675161007_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/leona-dress-navy.html', 'leona-dress-navy4497.html?variant=40116963311663', 'leona-dress-navy1e68.html?variant=40116963541039']"
R_1675173324_HB_5,"['#', 'collections/mens.html', 'collections/mens-sale.html', 'mens-sale/products/lykke-mens-crew.html', 'lykke-mens-crewf791.html?variant=32493736460335']"
R_1675172037_HB_4,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/kismet-crew.html', 'kismet-crew9211.html?variant=40342218866735', 'kismet-crew0c17.html?variant=40342216966191']"
R_1675185519_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/wool-trouser.html', 'wool-trouser2262.html?variant=40303838789679', 'wool-trouserd9f7.html?variant=40303839543343', 'wool-trouser4e11.html?variant=40303839576111']"
R_1675183924_HB_6,"['#', 'collections/kids.html', 'collections/kids-tights-and-leggings.html', 'kids-tights-and-leggings/products/new-knees-legging-1.html', 'new-knees-legging-1e297.html?variant=42370821957', 'new-knees-legging-15ba4.html?variant=42370821381']"
R_1675164913_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/wool-trouser.html', 'wool-trouser4e11.html?variant=40303839576111', 'wool-trouserd9f7.html?variant=40303839543343', 'wool-trouser2262.html?variant=40303838789679']"
R_1675172171_HB_4,"['#', 'collections/kids.html', 'collections/kids-tights-and-leggings.html', 'kids-tights-and-leggings/products/mini-scallion-legging.html']"
R_1675164855_HB_5,"['#', 'collections/mens.html', 'collections/mens-sale.html', 'mens-sale/products/lykke-mens-crew.html', 'lykke-mens-crewf791.html?variant=32493736460335']"
R_1675167658_HB_4,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/patchwork-chunky-mens-crew.html']"
R_1675172564_HB_6,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/honeycomb-wool-mens-crew.html', 'honeycomb-wool-mens-crewf797.html?variant=40159316803631', 'honeycomb-wool-mens-crew5800.html?variant=40159317164079']"
R_1675162548_HB_5,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/love-mother-earth-short-crew.html', 'love-mother-earth-short-crewbf37.html?variant=40775007109167']"
R_1675165197_HB_5,"['#', 'collections/mens.html', 'collections/mens-sale.html', 'mens-sale/products/lykke-mens-crew.html', 'lykke-mens-crew7b29.html?variant=32493736362031']"
R_1675156928_HB_5,"['#', 'collections/kids.html', 'collections/kids-socks.html', 'kids-socks/products/watermelon-crew.html', 'watermelon-crew2f61.html?variant=31730531336239']"
R_1675157335_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/quinn-top-white.html', 'quinn-top-white7780.html?variant=40116979531823', 'quinn-top-white2323.html?variant=40116979630127']"
R_1675155330_HB_6,"['#', 'collections/kids.html', 'collections/kids-new-arrivals.html', 'kids-new-arrivals/products/smiley-legging.html', 'smiley-legginge5ac.html?variant=12323330162735', 'smiley-legging7fd1.html?variant=12323330031663']"
R_1675174207_HB_4,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/patchwork-chunky-mens-crew.html']"
R_1675162915_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/rib-cashmere-knee-hi.html', 'rib-cashmere-knee-hi0d71.html?variant=40178552242223', 'rib-cashmere-knee-hie6cb.html?variant=40178551947311', 'rib-cashmere-knee-hi5eea.html?variant=40178552274991']"
R_1675169831_HB_5,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/hoodie-wool-mens-crew.html', 'hoodie-wool-mens-crew8b10.html?variant=40230005506095']"
R_1675155276_HB_6,"['#', 'collections/kids.html', 'collections/kids-sale.html', 'kids-sale/products/mini-tropicana-legging.html', 'mini-tropicana-legginge3bd.html?variant=41950821061', 'mini-tropicana-legging55df.html?variant=41950821189']"
R_1675154746_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/scout-dress-bloom.html', 'scout-dress-bloom9e8b.html?variant=40116983824431', 'scout-dress-bloom7f69.html?variant=40116983791663', 'scout-dress-bloom4725.html?variant=40116983857199']"
R_1675169236_HB_5,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/madras-check-mens-crew.html', 'madras-check-mens-crew74fa.html?variant=40116878344239']"
R_1675156517_HB_3,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/hodge-podge-crew.html', 'hodge-podge-crew86b4.html?variant=40342201204783']"
R_1675158797_HB_5,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/asha-jumpsuit-bloom.html', 'asha-jumpsuit-bloomd685.html?variant=40116961247279', 'asha-jumpsuit-bloomb930.html?variant=40116961476655', 'asha-jumpsuit-bloome3d1.html?variant=40116961378351']"
R_1675174800_HB_4,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/ping-pong-sporty-crew.html', 'ping-pong-sporty-crew1bf2.html?variant=40200217460783', 'ping-pong-sporty-crew03d1.html?variant=40200218083375']"
R_1675181730_HB_6,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/honeycomb-wool-mens-crew.html', 'honeycomb-wool-mens-crewb1f8.html?variant=40159317393455', 'honeycomb-wool-mens-crew5800.html?variant=40159317164079']"
R_1675167001_HB_6,"['#', 'collections/kids.html', 'collections/kids-tights-and-leggings.html', 'kids-tights-and-leggings/products/polka-dot-tight.html', 'polka-dot-tight5580.html?variant=1271670260', 'polka-dot-tight9626.html?variant=1271670256']"
R_1675181506_HB_6,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/sweet-tie-dye-crew.html', 'sweet-tie-dye-crew911e.html?variant=39390706335791', 'sweet-tie-dye-crew6f6c.html?variant=39390706303023', 'sweet-tie-dye-crew5acc.html?variant=39390705909807', 'sweet-tie-dye-crewab46.html?variant=39390705680431']"
R_1675168837_HB_5,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/lykke-mens-crew.html', 'lykke-mens-crewf791.html?variant=32493736460335']"
R_1675183673_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/cashmere-tight.html', 'cashmere-tight2249.html?variant=1271666328', 'cashmere-tight14e9.html?variant=42369914181']"
R_1675170341_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/wool-trouser.html', 'wool-trouser2262.html?variant=40303838789679', 'wool-trouserd9f7.html?variant=40303839543343']"
R_1675160767_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/asha-jumpsuit-navy.html', 'asha-jumpsuit-navyf01f.html?variant=40116958953519', 'asha-jumpsuit-navy0a23.html?variant=40116958593071']"
R_1675173674_HB_5,"['#', 'collections/mens.html', 'collections/mens-new-arrivals-1.html', 'mens-new-arrivals-1/products/dapple-mens-crew.html', 'dapple-mens-crewc2d4.html?variant=40230003769391']"
R_1675182926_HB_3,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/love-mother-earth-short-crew.html', 'love-mother-earth-short-crewbf37.html?variant=40775007109167']"
R_1675169779_HB_4,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/patchwork-chunky-mens-crew.html']"
R_1675172745_HB_4,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/utility-slub-crew.html', 'utility-slub-crewf34d.html?variant=40342295937071', 'utility-slub-crew9ce5.html?variant=40342300000303']"
R_1675167153_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/martina-pant-white.html', 'martina-pant-white2bf5.html?variant=40116975599663', 'martina-pant-white2183.html?variant=40116975796271']"
R_1675160545_HB_6,"['#', 'collections/womens.html', 'collections/womens-new-arrivals.html', 'womens-new-arrivals/products/margaret-dress-poppy.html', 'margaret-dress-poppy882b.html?variant=40116966326319', 'margaret-dress-poppy22b1.html?variant=40116966621231']"
R_1675181277_HB_4,"['#', 'collections/mens.html', 'collections/mens-socks.html', 'mens-socks/products/northern-lights-mens-crew.html']"
R_1675163593_HB_5,"['#', 'collections/kids.html', 'collections/kids-sale.html', 'kids-sale/products/mini-modine-legging.html', 'mini-modine-leggingeb03.html?variant=31732307492911']"
R_1675183451_HB_6,"['#', 'collections/kids.html', 'collections/kids-socks.html', 'kids-socks/products/hi-five-knee-hi.html', 'hi-five-knee-hi9951.html?variant=31732198834223', 'hi-five-knee-hif2ff.html?variant=31732198932527']"
R_1675170740_HB_4,"['collections/womens-new-arrivals.html', 'womens-new-arrivals/products/leon-short-crew.html', 'leon-short-crew365f.html?variant=40396122914863', 'leon-short-crew2de1.html?variant=40396128223279']"
R_1675155612_HB_5,"['#', 'collections/mens.html', 'collections/mens-sale.html', 'mens-sale/products/lykke-mens-crew.html', 'lykke-mens-crewf791.html?variant=32493736460335']"
