file,hrefs
R_1674848953_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-heart.html']"
R_1674854076_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-circle.html']"
R_1674844118_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-great-outdoors-girl.html', '#1', '#76']"
R_1674855153_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-girl.html', '#']"
R_1674846663_SA_2,"['collections/chore-charts.html', 'chore-charts/products/chore-chart-notepad-unicorn.html']"
R_1674843577_SA_6,"['collections/blankets.html', 'blankets/products/personalized-blanket-handwriting-font.html', '#8', '#1', '#2', '#4']"
R_1674851009_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-heart.html']"
R_1674856361_SA_4,"['collections/notepads.html', 'notepads/products/personalized-teacher-notepad-kids-jumping.html', '#2', '#1']"
R_1674860320_SA_6,"['collections/name-labels.html', 'name-labels/products/custom-name-labels-boy.html', '#1', '#50', '#48', '#49']"
R_1674858769_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/custom-throw-pillow-girl-face.html', '#2', '#89', '#3', '#1']"
R_1674844357_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/name-lumbar-pillow-cursive.html', '#3', '#4', '#1', '#28']"
R_1674855588_SA_6,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-girl-with-snowman.html', '#1', '#78', '#77', '#76']"
R_1674861921_SA_6,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-ghost.html', '#5', '#3', '#1', '#4']"
R_1674844603_SA_3,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-ballerina.html', '#']"
R_1674859404_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-frog.html']"
R_1674850222_SA_6,"['collections/note-cards.html', 'note-cards/products/flat-note-cards-choose-your-silhouette-girl.html', '#4', '#25', '#1', '#2']"
R_1674852699_SA_2,"['collections/note-cards.html', 'note-cards/products/personalized-note-cards-pool-dots.html']"
R_1674849106_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-race-car.html', '#2', '#1']"
R_1674855888_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-green-chevron-notepad.html']"
R_1674847948_SA_2,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-hedgehog.html']"
R_1674867988_SA_5,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-ballerina.html', '#1', '#2', '#3']"
R_1674864445_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/name-lumbar-pillow-uppercase.html', '#5', '#6', '#7', '#4']"
R_1674855593_SA_2,"['collections/notepads.html', 'notepads/products/personalized-notepad-rainbow-unicorn.html']"
R_1674852131_SA_5,"['collections/placemats.html', 'placemats/products/personalized-chevron-placemat-pool.html', '#2', '#3', '#1']"
R_1674854460_SA_2,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-dog.html']"
R_1674856186_SA_2,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-fire-truck.html']"
R_1674850683_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-ballerina.html', '#']"
R_1674844212_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-pink-unicorn.html', '#1', '#2']"
R_1674851245_SA_2,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-spinosaurus.html']"
R_1674845480_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-mermaid.html', '#']"
R_1674858130_SA_4,"['collections/return-address-labels.html', 'return-address-labels/products/copy-of-return-address-labels-floral-circle.html', '#2', '#1']"
R_1674861264_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-superhero-boy.html', '#']"
R_1674851904_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-green-chevron-notepad.html']"
R_1674848432_SA_2,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-baby-dino.html']"
R_1674856362_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#4', '#9', '#3', '#2']"
R_1674843574_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-floral.html', '#1', '#2']"
R_1674844162_SA_4,"['collections/return-address-labels.html', 'return-address-labels/products/copy-of-return-address-labels-floral-circle.html', '#1', '#2']"
R_1674846484_SA_4,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-choose-your-silhouettes-2-siblings-1.html', '#2', '#1']"
R_1674859070_SA_4,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-choose-your-silhouettes-2-siblings-1.html', '#1', '#2']"
R_1674849328_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-papaya-and-green.html']"
R_1674856636_SA_3,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-boy.html', '#1']"
R_1674850544_SA_6,"['collections/note-cards.html', 'note-cards/products/custom-childrens-flat-cards-girl.html', '#2', '#3', '#1', '#87']"
R_1674857525_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-choose-your-silhouettes-family-1.html']"
R_1674861506_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/patterned-name-lumbar-pillow-uppercase.html', '#3', '#1', '#6', '#7']"
R_1674852012_SA_4,"['collections/chore-charts.html', 'chore-charts/products/handwriting-practice-notepad-papaya.html', '#1', '#2']"
R_1674857463_SA_2,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-sea-turtle.html']"
R_1674847860_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-green-chevron-notepad.html']"
R_1674845938_SA_6,"['collections/note-cards.html', 'note-cards/products/custom-childrens-flat-cards-girl.html', '#1', '#3', '#87', '#2']"
R_1674855191_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-bookplates-kids-jumping.html']"
R_1674851144_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-nutcracker-girl-in-tutu.html', '#']"
R_1674847802_SA_4,"['collections/return-address-labels.html', 'return-address-labels/products/copy-of-return-address-labels-floral-circle.html', '#2', '#1']"
R_1674856880_SA_3,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-princess.html', '#']"
R_1674859913_SA_4,"['collections/notepads.html', 'notepads/products/personalized-teacher-notepad-kids-reading.html', '#2', '#1']"
R_1674850599_SA_6,"['collections/gift-labels.html', 'gift-labels/products/circle-gift-labels-choose-your-silhouettes-family.html', '#7', '#3', '#8', '#4']"
R_1674859471_SA_6,"['collections/gift-labels.html', 'gift-labels/products/circle-gift-labels-choose-your-silhouettes-family.html', '#7', '#5', '#1', '#8']"
R_1674860813_SA_5,"['collections/placemats.html', 'placemats/products/personalized-chevron-placemat-pool.html', '#1', '#3', '#2']"
R_1674845565_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#7', '#9', '#1', '#2']"
R_1674845988_SA_4,"['collections/tote-bags.html', 'tote-bags/products/copy-of-personalized-tote-bag-girl-face.html', '#1', '#2']"
R_1674849168_SA_4,"['collections/note-cards.html', 'note-cards/products/personalized-note-cards-grace.html', '#1', '#2']"
R_1674849959_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-floral.html', '#1', '#2']"
R_1674856887_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-great-outdoors-boy.html', '#1', '#2']"
R_1674844947_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-pink-unicorn.html', '#2', '#1']"
R_1674852001_SA_3,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-boy.html', '#1']"
R_1674854018_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-hedgehog.html']"
R_1674846345_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-rainbow-unicorn.html', '#2', '#1']"
R_1674855551_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-nutcracker-boy.html', '#']"
R_1674857281_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-girl-on-bike.html', '#']"
R_1674848560_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-fox.html']"
R_1674846729_SA_4,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-race-car.html', '#1', '#2']"
R_1674858977_SA_2,"['collections/throw-pillows.html', 'throw-pillows/products/personalized-throw-pillow-rainbow-unicorn.html']"
R_1674856372_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-nutcracker-girl-in-blue-dress.html', '#']"
R_1674852969_SA_2,"['collections/notepads.html', 'notepads/products/personalized-green-chevron-notepad.html']"
R_1674845168_SA_2,"['collections/notepads.html', 'notepads/products/personalized-notepad-rainbow-unicorn.html']"
